seed,best_loss,param_c_kAQ,param_c_kAP,param_c_kQA,param_c_kMyo,param_c_kPQ,param_c_kPT,param_c_kPSC,param_c_kTM
35,10.8774475,88.71437419,0.2616346533,99.62140697,239.3591006,1.019098966,3.43241734,4.464103431,0.5127085672
36,11.36905541,19.39947278,0.3092179735,19.16580991,488.1003493,1.149351794,3.643633783,4.310168621,0.4738587811
37,11.43228256,0.5804234111,10.20176329,14.97599598,148.9873262,43.91035401,3.749882645,5.474943583,0.5264035555
38,10.93968314,62.1322856,0.3021264532,65.48207941,288.6932552,1.062454087,3.295197038,4.158201103,0.5000897245
39,7.416418096,0.04052699619,0.2490873724,0.1243619963,1414.434702,1.230627033,3.644006654,4.122524284,0.3498815375
40,11.29199048,55.56106058,10.45545226,96.5255168,129.4557487,37.96375047,3.160876181,4.839241062,0.5641890969
41,11.37579582,2.399200608,4.526582495,8.239980561,188.8766056,15.55688676,3.212472324,4.389568706,0.4840541041
42,11.48672271,0.001851749531,3.079116287,3.50967173,210.8380876,10.37035921,3.111491651,4.132651664,0.4522639267
43,10.81993093,38.30358285,0.2427193907,44.84524425,209.9611746,0.8374800559,3.008004072,4.0073905,0.5312028628
44,34.07899936,3.695369677,146.5560843,0.05428669878,4.336365936,18.26243957,42.13990015,0.157046657,0.03291776671
45,11.43234908,1.734748878,2.476527684,5.011023853,187.6748102,8.919753809,3.299398342,4.509176877,0.4778247098
46,6.55114047,0.2136150842,0.1511559395,0.1372502332,477.8152237,0.552195034,3.316013297,3.845329704,0.4174090244
47,6.548450597,0.1929194558,0.1872040048,0.1399289826,977.4703648,0.6366148467,3.144865871,3.511726441,0.3809047581
48,11.34859268,0.08401691879,9.555081285,13.38916298,140.4749946,37.29089544,3.48303462,5.192477092,0.5535512767
49,11.74150285,0.1268118499,7.008777448,6.901521135,471.1714036,22.42557619,3.218848573,3.823823819,0.400610005
50,6.599940289,0.1958849636,0.1780076877,0.1194823062,4552.61472,0.6341973706,3.4208022,3.685150107,0.3733616359
51,22.98820807,22.55687516,0.7605445772,198.4896615,43.99763784,2.39277197,6.709886388,12.99048081,3.127640479
52,6.523498859,0.2160113842,0.1638731172,0.1485211525,613.6466804,0.5815407547,3.234489181,3.695118168,0.4049684075
53,12.07893314,22.56289049,15.66503779,40.38444218,340.0913444,76.57722343,5.063685448,6.215151243,0.4645523597
54,11.37952383,0.001371556582,6.410690584,7.580047954,190.4734367,23.62709981,3.478870425,4.735639621,0.4808673506
55,11.78732333,0.1903150412,17.56263126,23.68427546,160.7505185,87.87367971,4.614416242,6.596526046,0.5486680963
56,11.69898248,0.572233035,18.92981858,19.63017468,368.0749865,74.8308311,4.026016434,4.942830772,0.4307678097
57,11.48504262,0.01366866308,4.539590379,6.758014419,123.9976483,17.52874089,3.277692256,5.164246292,0.556165573
58,11.38385995,1.65837338,3.717576995,6.708284493,171.6948057,13.88486703,3.41352807,4.776978129,0.4996668254
59,12.0154973,3.94086835,4.72299933,7.674409631,2414.161018,16.24155974,3.601578801,3.987369503,0.3759210615
60,33.43758903,15.09661615,238.3112548,0.03399300981,180.6497976,8.117417347,14.91215164,9.188752116,0.02633037594
61,13.99865467,0.1502422294,0.1351255071,0.001585000877,81.56515705,0.3422384133,3.089232833,4.84335411,0.8698291871
62,6.561386728,0.1801088469,0.1823454633,0.1110790425,2149.644511,0.6296299794,3.294976196,3.58286155,0.3718795915
63,11.32300774,10.56059371,0.2279437983,10.94184727,425.7260872,0.8941791957,3.723207266,4.477367858,0.5367983594
64,6.624111996,0.1704171399,0.187281901,0.1089607109,21706.16819,0.673748161,3.356408523,3.602312321,0.3630061002
65,10.8556797,9.579886851,0.2089288511,11.702493,210.6916565,0.752347518,3.060771205,4.070701392,0.5396434439
66,11.35002192,34.08331195,2.711782413,47.22696828,164.0708991,10.23575089,3.439091595,4.880142409,0.5156674858
67,10.82984213,80.90041182,0.2321170416,95.06934755,209.8161933,0.8244746848,3.059794967,4.079188243,0.5339519898
68,6.548193346,0.2079654909,0.1612701224,0.1427361179,446.3644761,0.5568073184,3.106102498,3.628994503,0.4106740642
69,6.530223049,0.2198182632,0.164169569,0.1525321448,622.5587466,0.5844905504,3.241781034,3.701985802,0.4050736156
70,10.93546699,6.490916133,0.2440352075,7.207857614,278.8810215,0.9700830736,3.563152886,4.514486879,0.5052394946
71,11.35336438,92.8456779,3.132198472,132.9354729,141.3076964,12.021221,3.382535962,5.012376351,0.5388486793
72,15.21011225,0.0002007657371,0.6993166008,0.7179879985,124.52771,18.06388261,16.70450552,23.10329618,0.3133216887
73,11.26722241,21.95484255,26.82173882,66.19116985,146.736522,101.1772531,3.44543916,5.064341208,0.5475530174
74,11.91847853,4.882233423,0.2181971273,5.205904268,409.6747047,1.274762778,5.080786806,6.08748118,0.4722248536
75,12.03995845,2.732436198,1.158787934,3.898598117,317.4990359,3.537203659,2.743142694,3.395645205,0.3739765085
76,12.07478456,6.419955801,10.0537555,14.34786702,4618.691818,33.09989531,3.472334141,3.817379863,0.3679615758
77,34.0453963,14.31000055,32.32689865,0.04600287421,3.837052888,1.439419416,90.55086637,0.2302623905,0.02791336321
78,6.554394974,0.1880579865,0.1729845645,0.1163732867,1668.41969,0.634526936,3.435446417,3.759215131,0.3815100333
79,11.302148,2.012121972,50.6295655,75.65185508,127.7877506,169.680026,2.945367813,4.523441906,0.560512714
80,6.527555641,0.1881574745,0.1735938535,0.1079321282,1076.887227,0.5728215816,3.236387525,3.567143837,0.3827877575
81,11.43849032,0.1594290247,5.421964085,6.125084177,229.7658584,18.9278774,3.360882224,4.393763101,0.452372856
82,6.681143222,0.2260434791,0.1568047966,0.1748138893,340.3897783,0.554889279,3.015839214,3.639366225,0.4238210163
83,51.69021174,0.1039647199,43.10007847,103.9213889,97.22225511,0.585700368,4.829423099,1.971480043,0.7458564466
84,47.78350871,10.10050167,4.950249169,186.8592809,42.42210702,0.06060300999,9.108458471,1.881094684,0.5940299003
85,12.77199995,0.03060161367,22.04294888,22.23118692,542.6207254,130.6199741,6.20455464,7.23856296,0.4334261134
86,10.85712249,3.660107392,0.2271925169,4.316150463,248.8369222,0.8861585917,3.35379929,4.328849047,0.510085359
87,11.29875828,5.566759079,15.78069702,30.826116,129.9501259,55.71206242,3.088637973,4.724664576,0.5636334651
88,6.596525249,0.1761067413,0.1853586351,0.1122807218,4962.472696,0.6593827332,3.337321916,3.60113474,0.3667874677
89,6.532905495,0.1885351849,0.1721206114,0.1282586853,975.3747356,0.6470220483,3.371616257,3.767587854,0.3879406103
90,24.93564758,0.0009994451624,0.3203612013,0.3796356737,7.254246738,37.40998904,37.57997614,1.507212482,0.5492661274
